Completion probability,Robust critical value
0,1.95996398454005
0.01,1.96404595888298
0.02,1.9681650597944
0.03,1.97232200390944
0.04,1.97651752935887
0.05,1.98075239664728
0.06,1.98502738957687
0.07,1.98934331621971
0.08,1.99370100994158
0.09,1.99810133048066
0.1,2.00254516508478
0.11,2.00703342971094
0.12,2.01156707029137
0.13,2.01614706407061
0.14,2.02077442101838
0.15,2.02545018532363
0.16,2.03017543697525
0.17,2.0349512934358
0.18,2.03977891141466
0.19,2.04465948874813
0.2,2.04959426639399
0.21,2.05458453054934
0.22,2.05963161490072
0.23,2.0647369030169
0.24,2.06990183089505
0.25,2.07512788967256
0.26,2.08041662851749
0.27,2.08576965771209
0.28,2.09118865194517
0.29,2.09667535383039
0.3,2.10223157766975
0.31,2.10785921348281
0.32,2.11356023132475
0.33,2.11933668591861
0.34,2.12519072162942
0.35,2.1311245778114
0.36,2.13714059456212
0.37,2.14324121892178
0.38,2.14942901155952
0.39,2.1557066539937
0.4,2.16207695639833
0.41,2.16854286605393
0.42,2.17510747650781
0.43,2.18177403751704
0.44,2.18854596585569
0.45,2.19542685707877
0.46,2.20242049834641
0.47,2.20953088242574
0.48,2.21676222300299
0.49,2.22411897145639
0.5,2.23160583526093
0.51,2.23922779822007
0.52,2.2469901427472
0.53,2.25489847445208
0.54,2.26295874932568
0.55,2.27117730386114
0.56,2.27956088850136
0.57,2.28811670486558
0.58,2.2968524472812
0.59,2.30577634923466
0.6,2.31489723546007
0.61,2.32422458051035
0.62,2.33376857480714
0.63,2.34354019935006
0.64,2.35355131048917
0.65,2.36381473643858
0.66,2.37434438754563
0.67,2.38515538274618
0.68,2.39626419515405
0.69,2.40768882038093
0.7,2.41944897199849
0.71,2.43156630959043
0.72,2.44406470616494
0.73,2.45697056340267
0.74,2.47031318542971
0.75,2.48412522470731
0.76,2.49844321747172
0.77,2.5133082312948
0.78,2.52876665428342
0.79,2.54487116494499
0.8,2.56168193493402
0.81,2.579268135445
0.82,2.59770984452092
0.83,2.61710049106427
0.84,2.63755002837668
0.85,2.65918911629701
0.86,2.68217472446486
0.87,2.70669778119239
0.88,2.73299383907993
0.89,2.7613583147317
0.9,2.79216889014049
0.91,2.82591955661192
0.92,2.86327445009614
0.93,2.9051571972651
0.94,2.95290837579989
0.95,3.00858520600575
0.96,3.07559352002244
0.97,3.16022781530551
0.98,3.27636526469653
0.99,3.46713433370315
0.9999,4.55401619318015
